ComboId,Old Price,New Combo Price,Item 1,Item 2,Item 3
1,119.0,111.07,CHILLI PANEER,Butter Naan,Ice Cream Shake
2,124.0,115.73,CHILLI PANEER,Butter Naan,PEPSI 600ML
3,62.0,57.87,Chese Toast,Plain Maggi,Ice Cream Shake
4,108.0,100.8,KADHAI PANEER,Plain Maggi,Butter Naan
5,114.0,106.4,KADHAI PANEER,Butter Naan,Veg Rice
6,115.0,107.33,KADHAI PANEER,Butter Naan,Ice Cream Shake
7,118.0,110.13,KADHAI PANEER,Butter Naan,PULPY ORANGE
8,120.0,112.0,KADHAI PANEER,Butter Naan,PEPSI 600ML
9,122.0,113.87,Butter Chicken,Butter Naan,PULPY ORANGE
10,124.0,115.73,Butter Chicken,Butter Naan,PEPSI 600ML
